"clip_id","source_id","audio_relpath","transcript","duration_s","sample_rate","channels","peak_dbfs","noise_floor_dbfs","snr_db","silence_ratio","clipping_ratio","voiced_ratio","f0_min_hz","f0_median_hz","f0_max_hz","audio_sha256","review_status","reviewer","review_notes"
"tohsakarin_011e6363d4098514","tohsakarin_011e6363d4098514","audio/processed/tohsakarin_011e6363d4098514.wav","侦探先生，方便问问您的客户有什么特征吗？","3.45","48000","1","-1.000152","-80.044395","66.460662","0.222222","0.000012","0.561728","151.571657","262.381621","371.063647","91b5b15bd1b3b7cfe01f859c2af4a26f5eb827a0a968c1c406d0db78e23cdd72","pending","","auto_flags=none"
"tohsakarin_0131a4c87c8cb064","tohsakarin_0131a4c87c8cb064","audio/processed/tohsakarin_0131a4c87c8cb064.wav","休战，还是鱼死网破？你来选。","3.134","48000","1","-0.999854","-240","226.015465","0.357143","0","0.241497","214.354693","323.029667","428.709385","987bf74f6e34c9bb3a05e1f1ee652bb23ae0f7b51ae0b8c7eccd0f8c3fdda318","pending","","auto_flags=excess_silence"
"tohsakarin_01655433b061bedf","tohsakarin_01655433b061bedf","audio/processed/tohsakarin_01655433b061bedf.wav","优雅、华丽、大胆地开拓吧！","2.298354","48000","1","-1.000152","-43.358814","29.965103","0.097222","0.000018","0.662037","170.133432","274.790729","631.303318","963b9bd4253c0129b90fc79cfbbd6c1375398506c4f91a6b06f9cb3f1cfed490","pending","","auto_flags=none"
"tohsakarin_01ff919ddc80157f","tohsakarin_01ff919ddc80157f","audio/processed/tohsakarin_01ff919ddc80157f.wav","状况不算太糟……","1.25","48000","1","-0.999854","-45.053772","29.282442","0.101695","0.000017","0.338983","173.107312","207.056439","308.442165","9981cb875e3274429775983534b6cdfd6d98033de976e7bde316dd0d24ab7800","pending","","auto_flags=too_short"
"tohsakarin_029977e786d9f5ac","tohsakarin_029977e786d9f5ac","audio/processed/tohsakarin_029977e786d9f5ac.wav","啊小心","0.75725","48000","1","-2.446975","-92.350197","80.067642","0.43662","0","0.239437","456.832936","489.621417","565.685425","f1e20fda702a25d063f4632f243b00e5c627f22895ca470dca56dfe43939a190","pending","","auto_flags=too_short|excess_silence"
"tohsakarin_029c4d236dd63b29","tohsakarin_029c4d236dd63b29","audio/processed/tohsakarin_029c4d236dd63b29.wav","既然承诺了常回来看看，还有，以防时间过太久，你把我这个御主忘了……","7.777792","48000","1","-0.999854","-92.682556","79.163147","0.316438","0.000013","0.419178","170.133432","277.18311","377.549725","f75d95e5e3574aaf988ade2ed77201deb7a4ad74caa3f0cd4eb9221f60b30325","pending","","auto_flags=none"
"tohsakarin_02c0710614e48694","tohsakarin_02c0710614e48694","audio/processed/tohsakarin_02c0710614e48694.wav","不过，你似乎和我认识的那个Saber有些微妙的不同……","5.286708","48000","1","-0.999854","-71.607407","57.705894","0.318548","0","0.604839","50","246.228883","400","4fd4f4a9471bac9bf8396dc9f14e96df6bd27913b0b272516399b9d321b4a8f0","pending","","auto_flags=none"
"tohsakarin_037dcc3270653baa","tohsakarin_037dcc3270653baa","audio/processed/tohsakarin_037dcc3270653baa.wav","可是，两位却要把意义非凡的纪念品转赠给我……","5.332","48000","1","-1.000152","-93.313324","79.063251","0.268","0.00002","0.534","139.796993","260.870414","436.203093","ef45dbcc3c12c2c50583fb7b766aedc83275ac1517b5cd1eb79d76122e0b58c5","pending","","auto_flags=none"
"tohsakarin_0394c714da73742a","tohsakarin_0394c714da73742a","audio/processed/tohsakarin_0394c714da73742a.wav","只有你这种被宠坏的家伙才会觉得坚强自立是一种痛苦况且我身边不是有这么多同伴一路陪伴着我吗","9.001104","48000","1","-1.000152","-88.30587","74.053761","0.209716","0.000051","0.587678","145.565318","300.529376","462.141079","b9535bc40c585c4f9ad01edd4715dfed11fde5a785fc0cf418214dfce6392cde","pending","","auto_flags=none"
"tohsakarin_03a3f0f52e178b36","tohsakarin_03a3f0f52e178b36","audio/processed/tohsakarin_03a3f0f52e178b36.wav","大气？没问题！","2","48000","1","-0.999854","-96.529984","81.319249","0.521277","0","0.143617","310.228952","446.398857","498.179849","fed6216d1336089477488e03a633a2c88c35804fd627ac63e5ddd26ae97c35d3","pending","","auto_flags=excess_silence"
"tohsakarin_03f5d9673667446c","tohsakarin_03f5d9673667446c","audio/processed/tohsakarin_03f5d9673667446c.wav","啊真没想到会这样卷入漩涡中心阿成还站在对面","6.045","48000","1","-1.000152","-93.006012","78.45494","0.35097","0","0.405644","175.118722","225.792881","319.319355","de3f8b4abd75ae3c247637f37863bbae5a63479497488d1ebf699685c56baece","pending","","auto_flags=excess_silence"
