"source_id","audio_relpath","transcript","source_reference","usage_rights","speaker","scene","notes"
"tohsakarin_2ebc3d25dba26058","audio/raw/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_1.ogg","契约完成别担心我不喜欢那种阶级分明的关系至少对绝大多数人是这样了记好了吗我的从者","StarRailVoice/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_1.ogg","local_research_only; game_asset; do_not_redistribute","TohsakaRin_CN","archive","transcript_source=asr_fallback; match=none; confidence=0.000; review_required=true"
"tohsakarin_5a7248a8bc9f6466","audio/raw/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_10.ogg","不为自己而活，就无法理解「幸福」的含义——所以，无论未来会变成什么样，都按自己的心意，放开手脚前进吧！","StarRailVoice/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_10.ogg","local_research_only; game_asset; do_not_redistribute","TohsakaRin_CN","archive","transcript_source=game_text; match=fuzzy; confidence=0.955; review_required=true"
"tohsakarin_dc2faaa0793f8f4f","audio/raw/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_11.ogg","如果我出生在这片银河嗯果然还是最想被纯美批示啊呃什么他早就失踪了嗯","StarRailVoice/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_11.ogg","local_research_only; game_asset; do_not_redistribute","TohsakaRin_CN","archive","transcript_source=asr_fallback; match=fuzzy; confidence=0.844; review_required=true"
"tohsakarin_1ce6dcb890d97308","audio/raw/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_12.ogg","在我经历过的那场圣杯战争里，我们也曾缔结主从契约…骑士王的宝剑永远令人安心。","StarRailVoice/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_12.ogg","local_research_only; game_asset; do_not_redistribute","TohsakaRin_CN","archive","transcript_source=game_text; match=fuzzy; confidence=0.971; review_required=true"
"tohsakarin_cab676b188eba9c9","audio/raw/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_13.ogg","蓝色看起来可能有点轻浮但其实是个相当可靠的大哥沉着坚韧的战士说来你可能不信我还欠他一条命呢","StarRailVoice/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_13.ogg","local_research_only; game_asset; do_not_redistribute","TohsakaRin_CN","archive","transcript_source=asr_fallback; match=fuzzy; confidence=0.727; review_required=true"
"tohsakarin_a976b887d8b8e8f2","audio/raw/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_14.ogg","这家伙到了这边也还是一副我会搞定一切放心交给我吧让人不爽的表情摆出一副监护人的样子也是哎一定得找个机会教训他一顿","StarRailVoice/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_14.ogg","local_research_only; game_asset; do_not_redistribute","TohsakaRin_CN","archive","transcript_source=asr_fallback; match=fuzzy; confidence=0.880; review_required=true"
"tohsakarin_2ed02a7f9869e73b","audio/raw/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_15.ogg","无论在历史书里还是那场圣杯战争中金闪闪都是独一档的麻烦制造者哎要是让他知道我接受了伊什塔尔的赐福就更完蛋了","StarRailVoice/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_15.ogg","local_research_only; game_asset; do_not_redistribute","TohsakaRin_CN","archive","transcript_source=asr_fallback; match=fuzzy; confidence=0.860; review_required=true"
"tohsakarin_59485c97121d6644","audio/raw/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_16.ogg","虽然喜欢看人类遇到麻烦但也无法放任不管就是因为这样才会赐福于我吧哎呀说到底果然是善神嘛","StarRailVoice/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_16.ogg","local_research_only; game_asset; do_not_redistribute","TohsakaRin_CN","archive","transcript_source=asr_fallback; match=none; confidence=0.000; review_required=true"
"tohsakarin_db3c968eceec8fd5","audio/raw/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_17.ogg","果将全人类的愿望强加于一身，最后一定会燃烧殆尽…谢谢你，{NICKNAME}，能够陪他一路走到最后。","StarRailVoice/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_17.ogg","local_research_only; game_asset; do_not_redistribute","TohsakaRin_CN","archive","transcript_source=game_text; match=fuzzy; confidence=0.986; review_required=true"
"tohsakarin_bca058ea849b824e","audio/raw/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_18.ogg","妹二人与我和樱是那么相似，却又完全不同，简直就像两面镜子对映一般…谢谢她们，带我找回我们最珍贵的","StarRailVoice/TohsakaRin_CN/ogg/voice/archive/tohsakarin/archive_tohsakarin_18.ogg","local_research_only; game_asset; do_not_redistribute","TohsakaRin_CN","archive","transcript_source=game_text; match=fuzzy; confidence=0.901; review_required=true"
